ACTOR_OFFICER,军官
MISSION_10_TOWER_2,
MISSION_10_HQ_1,
MISSION_10_HQ_2,
MISSION_TITLE_AIRPORT_PT_2,
MISSION_DESR_AIRPORT_PT_2,
MISSION_11_INTRO_1,
MISSION_11_INTRO_2,
MISSION_11_RECON_1,
MISSION_11_RECON_2,
MISSION_11_CAP_TOWER,
MISSION_11_TANK,
MISSION_TITLE_CONVOY,
MISSION_DESR_CONVOY,
MISSION_12_INTRO_1,
MISSION_12_INTRO_2,
MISSION_12_INTRO_3,
MISSION_12_CROSSROAD_1,
MISSION_12_CROSSROAD_2,
MISSION_12_TOWERS_1,
MISSION_12_TOWERS_2,
MISSION_TITLE_CRASH_SITE,
MISSION_DESR_CRASH_SITE,
MISSION_13_INTRO_1,
MISSION_13_INTRO_2,
MISSION_13_INTRO_3,
MISSION_13_INTRO_4,
MISSION_13_TURN3_1,
MISSION_13_TURN3_2,
MISSION_13_TURN3_3,
MISSION_13_HALF_WAY,
MISSION_TITLE_AIRPORT_PT_3,
MISSION_DESR_AIRPORT_PT_3,
MISSION_14_INTRO_1,
MISSION_14_INTRO_2,
MISSION_14_INTRO_3,
MISSION_14_TURN2_1,
MISSION_14_TURN2_2,
MISSION_14_TURN2_3,
MISSION_14_TURN3_1,
MISSION_14_TURN3_2,
MISSION_14_TURN4_1,
MISSION_14_TURN4_2,
MISSION_14_TURN4_3,
MISSION_14_TRAP_1,
MISSION_14_TRAP_2,
